N,Triton,Torch
1024.000000,1294.538275,1000.549669
1536.000000,1404.342820,1264.360085
2048.000000,1762.312633,1432.480902
2560.000000,1756.997375,1556.674568
3072.000000,2008.766219,1657.390923
3584.000000,1941.807453,1721.395924
4096.000000,2084.644183,1744.718866
4608.000000,2021.676026,1772.573996
5120.000000,2114.064495,1790.601127
5632.000000,2010.867537,1775.605883
6144.000000,2045.336863,1764.289443
6656.000000,1965.324051,1755.730041
7168.000000,1964.676637,1739.344075
7680.000000,1899.594268,1726.145654
8192.000000,1880.853825,1708.474088
8704.000000,1864.622565,1706.797336
9216.000000,1858.445051,1700.393549
9728.000000,1837.232071,1687.241253
10240.000000,1851.299493,1691.251564
10752.000000,1831.954703,1702.233795
11264.000000,1835.508626,1693.237770
11776.000000,1824.300140,1694.102794
12288.000000,1841.222156,1700.393513
12800.000000,1831.637785,1708.891743
13312.000000,1846.584699,1704.788320
13824.000000,1830.330437,1708.396767
14336.000000,1850.272670,1716.966474
14848.000000,1835.830915,1715.679539
15360.000000,1843.488094,1714.480138
15872.000000,1825.351341,1717.705371
